"TAGNAME","Short description","Description","Recommended units","Comment","SYNONYMS"
"GALURAC",,"galacturonic acid","mg","D-Galacturonic acid is a sugar acid, the oxidized form of D-galactose. It is the main component of pectin, in which it exists as the polymer polygalacturonic acid",
"ERYTHL","erythritol","erythritol","mg","from Slovak table. Erythritol (butane-1,2,3,4-tetraol) is a natural sugar alcohol ",
"GALTL","galactitol","galactitol  ","mg",,"dulcitol,"
"LACTL","lactitol","lactitol","mg",,
"MALTL","maltitol","maltitol","mg",,
"POLYL","Polyols, tot.","Polyols, total","mg",,
"MALAC","malonic acid","malonic acid","mg","from Slovak table. ","propanedioic acid, methanedicarboxylic acid"
"FORAC","formic acid","formic acid","mg","from Slovak table","methanoic acid, hydrogen carboxylic acid, aminic acid"
"PYRAC","pyruvic acid","pyruvic acid","mg",,"Propanoic acid, BTS;"
"LACACD","D-lactic acid","D-lactic acid","mg","From COST",
"LACACL","L-lactic acid","L-lactic acid","mg","From COST",
"GLYCLAC","glycolic acid","glycolic acid","mg","Glycolic acid (or hydroxyacetic acid) is the smallest α-hydroxy acid (AHA).",
"ASIO","arsenic, inorganic","arsenic, inorganic","mcg","GEMS/Foods code 174",
"ASO","arsenic, organic","arsenic, organic","mcg",,
"BI","bismuth","bismuth","mcg","non essential trace element. (From Slovak table)",
"MO4+","molybdenum 4+","molybdenum 4+","mcg","Molybdenum ion requiring four electrons to return to its elemental state.",
"NI2+","nickel 2+","nickel 2+","mcg","Nickel ion requiring two electrons to return to its elemental state.",
"TI","titanum","titanum","mcg","Non essential trace element. (From Slovak table)",
"LA","lanthanum","lanthanum",,"from Slovak table",
"CS","cesium","cesium",,"Non essential trace element. (From Slovak table) includes cesium (isotope 133) ","Caesium"
"CS137","cesium-137","cesium-137",,"GEMS/Foods code 137 ",
"ID131","iodide 131","iodide 131","mcg","GEMS/Foods code 139","iodine 131"
"PU239","plutonium 239","plutonium 239",,"GEMS/Foods code 140",
"SR90","strontium 90","strontium 90","mcg","GEMS/Foods code 138",
"ASIO","arsenic, inorganic","arsenic, inorganic","mcg","GEMS/Foods code 174",
"ASO","arsenic, organic","arsenic, organic","mcg",,
"RETOLEQ","all-trans retinol equivalent","Summation, all-trans retinol equivalents = all-trans retinol + 0.75 13-cis retinol + 0.90 retinaldehyde","mcg","Used in the McCance and Widdowson (British) table",
"XRETALD","Conv. fact. ret. eq. for retinaldehyde","Conversion factor for retinol equivalent of retinaldehyde",,"In the British table equals 0.9",
"XRETOL13","Conv. fact. ret. eq. for 13-cis retinol","Conversion factor for retinol equivalent of 13-cis retinol",,"In the British table equals 0.75",
"RETINAC","retinoic acid","retinoic acid","mcg","Retinoid with carboxylic acid group. (NCI)",
"RETOLDH","dehydroretinol","dehydroretinol","mcg","From COST",
"CARTOID","carotenoids, tot.","carotenoids, total","mcg","cis and trans carotenoids, including non provitamin a carotenoids. This class includes carotenes, xanthophylls and may also include certain compounds that arise from rearrangement of the skeleton of ψ,ψ-carotene or by loss of part of this structure. Retinoids are excluded.",
"XRCARTG","Conv. fact. for RE of gamma-carotene","Conversion factor for RE of gamma-carotene","none","By convention equals 1/12 or 0.08.",
"XRECARTA","Conv. fact. for RE of a-carotene","Conversion factor for RE of alpha-carotene","none","By convention equals 1/6 or 0.17",
"XRECARTB","Conv. fact. for RE of b-carotene","Conversion factor for RE of beta-carotene","none","By convention equals 1/12 or 0.08.",
"XRECARTBEQ","Conv. fact. for RE of b-carotene eq.","Conversion factor for RE of beta-carotene equivalent","none","By convention equals 1/12 or 0.08.",
"XRECRYPXA","Conv. fact. for RE. of a-cryptoxanthin","Conversion factor for RE of alpha-cryptoxanthin","none","By convention equals 1/12 or 0.08.",
"XRECRYPXB","Conv. fact. for RE. of b-cryptoxanthin","Conversion factor for RE of beta-cryptoxanthin","none","By convention equals 1/12 or 0.08.",
"XBCARTG","Conv. fact. for b-carot. eq. of gamma-carotene","Conversion factor for beta-carotene equivalent of gamma-carotene","none","By convention equals 1/2 or 0.5",
"XBCARTA","Conv. fact. for b-carot. eq. of a-carotene","Conversion factor for beta-carotene equivalent of alpha-carotene","none","By convention equals 1/2 or 0.5",
"XBCRYPXA","Conv. fact. for b-carot. eq. of a-cryptoxanthin","Conversion factor for beta-carotene equivalent of alpha-cryptoxanthin","none","By convention equals 1/2 or 0.5",
"XBCRYPXB","Conv. fact. for b-carot. eq. of b-cryptoxanthin","Conversion factor for beta-carotene equivalent of beta-cryptoxanthin","none","By convention equals 1/2 or 0.5",
"CRYPXA","a-cryptoxanthin","alpha-cryptoxanthin","mcg","-",
"CRYPXB","b-cryptoxanthin","beta-cryptoxanthin","mcg","-",
"CTX","canthaxanthin","canthaxanthin","mcg","non provitamin A carotenoid",
"ATX","Astaxanthin","Astaxanthin","mcg","NCI",
"VITDEQ","Vit D3 + 5 x 25 hydroxyD2","Vitamin D3 + 5 x 25-hydroxycholecalciferol","mcg","Found in the McCance and Widdowson (British) and Danish tables",
"ERGSTR","ergosterol","ergosterol","mcg",,"provitamin D2"
"CHOCALOH","25 hydroxyD2","25-hydroxycholecalciferol","mcg","Found in the Danish table","Calcidiol, calcifediol, 25-hydroxycholecalciferol, or 25–hydroxy–vitamin D"
"CHOCALDOH","1,25 dihydroxyD2","1,25 dihydroxycholecalciferol","mcg",,"Calcitriol"
"ERGCALOH","25 hydroxyD3","25-hydroxyergocalciferol","mcg",,
"XCHOCALOH","Conv. Fact. 25 hydroxyD2","Conversion factor for vitamin D activity of 25-hydroxycholecalciferol","none","By convention equals 5. ",
"XBTP","Conv. Fact. for ATE of b-tocopherol","conversion factor for alpha-tocopherol equivalent of beta-tocopherol ","none",,
"XGTP","Conv. Fact. for ATE of g-tocopherol","conversion factor for alpha-tocopherol equivalent of gamma-tocopherol ","none",,
"XDTP","Conv. Fact. for ATE of d-tocopherol","conversion factor for alpha-tocopherol equivalent of delta-tocopherol ","none",,
"XATT","Conv. Fact. for ATE of a-tocotrienol","conversion factor for alpha-tocopherol equivalent of alpha-tocotrienol ","none",,
"XBTT","Conv. Fact. for ATE of b-tocotrienol","conversion factor for alpha-tocopherol equivalent of beta-tocotrienol ","none",,
"XGTT","Conv. Fact. for ATE of g-tocotrienol","conversion factor for alpha-tocopherol equivalent of gamma-tocotrienol ","none",,
"VITK1","vita K-1","vitamin K-1","mcg",,"phyllokinone"
"VITK2","vit K-2","vitamin K-2","mcg",,"menakinone"
"FOLSUM","folate, sum vitamers","folate, sum of vitamers, determined by HPLC","mcg","Sum of folate vitamers determined by HPLC. Includes mostly tetrahydrofolate, 5-methyltetrahydrofolate, 5-formyltetrahydrofolate, 10-formylfolic acid, 10-formyldihydrofolate and folic acid","folacin"
"FOLC","folate, conjugated","folate, conjugated","mcg","Sum of polyglutamic forms of folates.",
"XFOLAC","Conv. fact. for diet. folate eq. of folic acid","Conversion factor for dietary folate equivalent of synthetic folic acid","none","Conventionally 1.7",
"THF","tetrahydrofolate","tetrahydrofolate","mcg"," Natural tetrahydrofolates occur only in the (6S)-form","tetrahydrofolic acid"
"5MTHF","5-Methyltetrahydrofolate","5-Methyltetrahydrofolate","mcg",,
"5FTHF","5-Formyltetrahydrofolate","5-Formyltetrahydrofolate","mcg",,"(6S)-5-formyl-5,6,7,8-tetrahydrofolic acid"
"5MDHF","5-methyl-dihydrofolic acid","(6R,S)-5-methyl-5,6-
dihydrofolic acid","mcg",,
"10FDHF","10-formyldihydrofolate","10-formyldihydrofolate","mcg",,
"DHF","dihydrofolic acid","7,8-dihydrofolic acid;","mcg",,
"10FFOLAC","10- formylfolic acid","10-formylfolic acid ","mcg",,
"FOL-","Folate unk.","Folate, method unknown or variable","mcg",,
"XTRP","Con. fact. for niacin eq. of tryptophan","Conversion factor for niacin equivalent of tryptophan","none","Conventionally 1/60",
"VITB6-","vitamin B6 unk.","vitamin B-6, total; method unknown or variable","mg",,
"PYRXNHCL","Pyridoxine HCl","Pyridoxine HCl",,"Fortificant form of vitamin B6",
"VITC-","Vit C unk.","vitamin C; method unknown or variable","mg",,
"AVEDT","avenasterol, tot.","avenasterol, total","mg","From COST ",
"CAMT","campesterol, tot.","campesterol, total","mg","From COST ",
"FUCSTR","fucosterol","fucosterol","mg","From COST",
"PHYTSTRU","phytosterol, unsat.","phytosterol, unsaturated","mg?","Phytosterol with at least one double bond in the sterol ring.",
"STGSTR","stigmasterol ","stigmasterol, unspecified","mg","From COST",
"LIGNANS","lignans, tot.","lignans, total","mg","From COST. ",
"MATAIRES","matairesinol","matairesinol","mg","From COST ",
"SECORES","secoisolarisiresinol","secoisolarisiresinol","mg","From COST ",
