"TAGNAME","Short description","Description","Recommended units","Comment","SYNONYMS"
"V5+","vanadium 5+","vanadium 5+","mcg",,
"VITK1D","dihydro-vita K-1","dihydro-vitamin K-1","mcg","Use for vitamin K-1 hydroquinone. From EuroFIR","phyllokinone"
"XACEAC","energy CF for acetic acid","energy conversion factor for acetic acid","kJ/g ",,
"XALC","energy CF for alcohol. ","energy conversion factor for alcohol. ","kJ/g ",,
"XBENAC","energy CF for benzoic acid","energy conversion factor for benzoic acid","kJ/g ",,
"XCHOAVL","energy CF CHOAVL","energy conversion factor for available carbohydrates by difference or by weight. ","kJ/g ",,
"XCHOAVLM","energy CF CHOAVLM","energy conversion factor for available carbohydrates in monosaccharide equivalent. ","kJ/g ",,
"XCHOCDF","energy CF CHOCDF","energy conversion factor for total carbohydrates by difference. ","kJ/g ","If this is used, no energy conversion factor for polyols or organic acids should be used (XS and XO) as included in total carbohydrates by difference.",
"XCITAC","energy CF for citric acid","energy conversion factor for citric acid","kJ/g ",,
"XFAT","energy CF for fat. ","energy conversion factor for fat. ","kJ/g ",,
"XFUMAC","energy CF for fumaric acid","energy conversion factor for fumaric acid","kJ/g ",,
"XGULDKAC","energy CF for di-keto-cholanic acid","energy conversion factor for di-keto-cholanic acid","kJ/g ",,
"XINOTL","energy CF for inositol","energy conversion factor for inositol","kJ/g ",,
"XISOCAC","energy CF for iso-citric acid","energy conversion factor for iso-citric acid","kJ/g ",,
"XLACAC","energy CF for lactic acid","energy conversion factor for lactic acid","kJ/g ",,
"XLACACD","energy CF for D-lactic acid","energy conversion factor for D-lactic acid","kJ/g ",,
"XLACACL","energy CF for L-lactic acid","energy conversion factor for L-lactic acid","kJ/g ",,
"XMALAC","energy CF for malic acid","energy conversion factor for malic acid","kJ/g ",,
"XMANTL","energy CF for mannitol","energy conversion factor for mannitol","kJ/g ",,
"XOA","energy CF for organic acids  ","energy conversion factor for organic acids  ","kJ/g ","XO should only be used in conjunction with OA. It should not be used if energy conversion factors for individual organic acids are applied. ",
"XOXALAC","energy CF for oxalic acid","energy conversion factor for oxalic acid","kJ/g ",,
"XPHYTAC","energy CF for phytic acid","energy conversion factor for phytic acid (phytin P)","kJ/g ",,
"XPOLYL","energy CF for total polyols ","energy conversion factor for total polyols ","kJ/g ","XS should only be used in conjunction with POLY. It should not be used if energy conversion factors for individual polyols are applied.  ",
"XPROPAC","Energy CF for propionic acid","Energy conversion factor for propionic acid","kJ/g ",,
"XPROT","energy CF for protein. ","energy conversion factor for protein. ","kJ/g ",,
"XQUINAC","energy CF for quinic acid","energy conversion factor for quinic acid","kJ/g ",,
"XSALAC","energy CF for salicylic acid","energy conversion factor for salicylic acid","kJ/g ",,
"XSORTL","energy CF for sorbitol","energy conversion factor for sorbitol","kJ/g ",,
"XSUCAC","energy CF for succinic acid","energy conversion factor for succinic acid","kJ/g ",,
"XTARAC","energy CF for tartaric acid","energy conversion factor for tartaric acid","kJ/g ",,
"XXYLTL","energy CF for xylitol","energy conversion factor for xylitol","kJ/g ",,
